Time(s),Thrust(N)
0,0
0.01,522.06373
0.02,523.69424
0.03,525.34619
0.04,526.9121
0.05,528.68198
0.06,530.54661
0.07,532.44185
0.08,534.30765
0.09,536.13945
0.1,537.96136
0.11,539.79156
0.12,541.62698
0.13,543.43798
0.14,545.2306
0.15,547.02033
0.16,548.81768
0.17,550.6202
0.18,552.40716
0.19,554.15658
0.2,555.88884
0.21,557.626
0.22,559.38384
0.23,561.12871
0.24,562.84471
0.25,564.54121
0.26,566.22475
0.27,567.95412
0.28,569.70819
0.29,571.44318
0.3,573.15764
0.31,574.88775
0.32,576.64472
0.33,578.36754
0.34,580.06553
0.35,581.80245
0.36,583.53193
0.37,585.2238
0.38,586.91605
0.39,588.60103
0.4,590.23185
0.41,591.82597
0.42,593.43036
0.43,595.07483
0.44,596.70321
0.45,598.31254
0.46,599.93386
0.47,601.5832
0.48,603.19984
0.49,604.79679
0.5,606.43208
0.51,608.06121
0.52,609.66694
0.53,611.28919
0.54,612.89517
0.55,614.47449
0.56,616.06589
0.57,617.64009
0.58,619.19494
0.59,620.77147
0.6,622.32181
0.61,623.87112
0.62,625.42491
0.63,626.93618
0.64,628.4478
0.65,629.9674
0.66,631.45125
0.67,632.94655
0.68,634.44769
0.69,635.92297
0.7,637.40295
0.71,638.88911
0.72,640.3339
0.73,641.80116
0.74,643.26267
0.75,644.70029
0.76,646.15632
0.77,647.58504
0.78,649.00194
0.79,650.42984
0.8,651.8193
0.81,653.22092
0.82,654.62806
0.83,656.00581
0.84,657.40215
0.85,658.77837
0.86,660.14014
0.87,661.51506
0.88,662.85854
0.89,664.21481
0.9,665.56646
0.91,666.90373
0.92,668.25329
0.93,669.57499
0.94,670.90409
0.95,672.21698
0.96,673.52119
0.97,674.83232
0.98,676.12154
0.99,677.42136
1.0,678.69536
1.01,679.97399
1.02,681.23089
1.03,682.47358
1.04,683.72152
1.05,684.94755
1.06,686.18789
1.07,687.40435
1.08,688.62598
1.09,689.83332
1.1,691.02089
1.11,692.22052
1.12,693.39471
1.13,694.58242
1.14,695.75297
1.15,696.92614
1.16,698.08895
1.17,699.23886
1.18,700.38949
1.19,699.37315
1.2,680.42259
1.21,647.01071
1.22,641.3588
1.23,637.36678
1.24,633.761
1.25,630.61582
1.26,627.70874
1.27,625.26466
1.28,623.2132
1.29,621.24396
1.3,619.22608
1.31,617.36428
1.32,615.69503
1.33,613.94479
1.34,612.17872
1.35,610.90742
1.36,609.3623
1.37,608.08863
1.38,606.64438
1.39,605.60301
1.4,604.26953
1.41,603.38056
1.42,602.15498
1.43,600.71379
1.44,599.51894
1.45,598.67184
1.46,597.97015
1.47,596.86616
1.48,595.87124
1.49,594.90062
1.5,593.98324
1.51,593.09096
1.52,592.24703
1.53,591.34093
1.54,590.14453
1.55,589.30489
1.56,588.62113
1.57,587.91855
1.58,586.96054
1.59,585.97856
1.6,585.41337
1.61,584.87121
1.62,583.96736
1.63,583.0706
1.64,582.22283
1.65,581.70037
1.66,581.00715
1.67,580.2502
1.68,579.48689
1.69,578.80345
1.7,578.09217
1.71,577.47514
1.72,576.76429
1.73,576.22047
1.74,575.58085
1.75,575.01687
1.76,574.43017
1.77,573.85623
1.78,572.9782
1.79,572.57508
1.8,571.69055
1.81,571.24392
1.82,570.7404
1.83,569.96686
1.84,569.60372
1.85,568.95936
1.86,568.05045
1.87,567.8194
1.88,567.29317
1.89,566.56256
1.9,565.68258
1.91,565.54433
1.92,565.11168
1.93,564.43159
1.94,563.66098
1.95,562.96343
1.96,562.82979
1.97,562.25971
1.98,561.6761
1.99,560.90598
2.0,560.13742
2.01,559.65896
2.02,558.76376
2.03,558.26021
2.04,557.88285
2.05,557.56057
2.06,557.15941
2.07,556.81306
2.08,556.19521
2.09,556.38795
2.1,557.41128
2.11,558.43272
2.12,559.45008
2.13,560.46335
2.14,561.47253
2.15,0.0
